TransactionID,item1,item2,item3,item4,item5,item6,item7
1,olives,,,,,,
2,tuna,prosciutto,olives,ham,turkey,,
3,risotto,soda,tuna,crackers,peroni,olives,
4,avocado,crackers,hummus,peroni,ham,turkey,
5,tuna,prosciutto,apples,olives,steak,avocado,turkey
6,pretzels,peroni,chicken,coke,gelato,peppers,ham
7,olives,sarsaparilla,coke,turkey,gelato,peroni,
8,prosciutto,peppers,sarsaparilla,crackers,chicken,gelato,risotto
9,soda,olives,sarsaparilla,crackers,peroni,peppers,risotto
10,prosciutto,peppers,sarsaparilla,crackers,chicken,moscato,tuna
11,risotto,pretzels,apples,peppers,avocado,steak,turkey
12,risotto,tuna,avocado,hummus,peroni,apples,prosciutto
13,tuna,prosciutto,apples,olives,steak,pretzels,peroni
14,risotto,pretzels,apples,peppers,avocado,steak,gelato
15,tuna,prosciutto,olives,ham,turkey,coke,apples
16,olives,sarsaparilla,coke,turkey,gelato,hummus,ham
17,risotto,tuna,avocado,hummus,peroni,coke,turkey
18,pretzels,peroni,chicken,coke,gelato,prosciutto,apples
19,soda,olives,sarsaparilla,crackers,peroni,risotto,peppers
20,soda,olives,sarsaparilla,crackers,peroni,steak,tuna
21,tuna,prosciutto,olives,ham,turkey,apples,risotto
22,risotto,tuna,avocado,hummus,peroni,sarsaparilla,prosciutto
23,soda,olives,sarsaparilla,crackers,peroni,hummus,steak
24,soda,olives,sarsaparilla,crackers,peroni,prosciutto,tuna
25,pretzels,peroni,chicken,coke,gelato,apples,risotto
26,pretzels,peroni,chicken,coke,gelato,prosciutto,peppers
27,olives,sarsaparilla,coke,turkey,gelato,apples,risotto
28,olives,sarsaparilla,coke,turkey,gelato,soda,avocado
29,soda,olives,sarsaparilla,crackers,peroni,hummus,peppers
30,olives,sarsaparilla,coke,turkey,gelato,pretzels,soda
31,olives,sarsaparilla,coke,turkey,gelato,soda,ham
32,prosciutto,peppers,sarsaparilla,crackers,chicken,tuna,coke
33,risotto,pretzels,apples,peppers,avocado,prosciutto,chicken
34,soda,olives,sarsaparilla,crackers,peroni,moscato,ham
35,risotto,tuna,avocado,hummus,peroni,moscato,soda
36,tuna,prosciutto,olives,ham,turkey,crackers,risotto
37,avocado,crackers,hummus,peroni,ham,prosciutto,pretzels
38,soda,olives,sarsaparilla,crackers,peroni,apples,steak
39,risotto,tuna,avocado,hummus,peroni,soda,ham
40,pretzels,peroni,chicken,coke,gelato,hummus,steak
41,soda,olives,sarsaparilla,crackers,peroni,hummus,coke
42,tuna,prosciutto,apples,olives,steak,risotto,chicken
43,pretzels,peroni,chicken,coke,gelato,crackers,steak
44,soda,olives,sarsaparilla,crackers,peroni,steak,tuna
45,tuna,prosciutto,olives,ham,turkey,sarsaparilla,peroni
46,prosciutto,peppers,sarsaparilla,crackers,chicken,gelato,gelato
47,risotto,pretzels,apples,peppers,avocado,chicken,steak
48,risotto,soda,tuna,crackers,peroni,pretzels,hummus
49,prosciutto,peppers,sarsaparilla,crackers,chicken,turkey,gelato
50,avocado,crackers,hummus,peroni,ham,pretzels,tuna
51,soda,olives,sarsaparilla,crackers,peroni,moscato,avocado
52,risotto,pretzels,apples,peppers,avocado,turkey,gelato
53,risotto,soda,tuna,crackers,peroni,olives,avocado
54,risotto,tuna,avocado,hummus,peroni,prosciutto,chicken
55,tuna,prosciutto,olives,ham,turkey,avocado,risotto
56,risotto,soda,tuna,crackers,peroni,prosciutto,ham
57,pretzels,peroni,chicken,coke,gelato,olives,prosciutto
58,risotto,soda,tuna,crackers,peroni,avocado,avocado
59,soda,olives,sarsaparilla,crackers,peroni,ham,peppers
60,prosciutto,peppers,sarsaparilla,crackers,chicken,steak,apples
61,risotto,soda,tuna,crackers,peroni,hummus,chicken
62,avocado,crackers,hummus,peroni,ham,tuna,steak
63,tuna,prosciutto,apples,olives,steak,ham,gelato
64,risotto,tuna,avocado,hummus,peroni,steak,turkey
65,risotto,pretzels,apples,peppers,avocado,moscato,crackers
66,risotto,soda,tuna,crackers,peroni,chicken,prosciutto
67,risotto,pretzels,apples,peppers,avocado,crackers,sarsaparilla
68,tuna,prosciutto,apples,olives,steak,coke,soda
69,olives,sarsaparilla,coke,turkey,gelato,pretzels,avocado
70,prosciutto,peppers,sarsaparilla,crackers,chicken,soda,gelato
71,risotto,pretzels,apples,peppers,avocado,sarsaparilla,sarsaparilla
72,tuna,prosciutto,olives,ham,turkey,coke,apples
73,tuna,prosciutto,apples,olives,steak,soda,avocado
74,risotto,pretzels,apples,peppers,avocado,turkey,soda
75,pretzels,peroni,chicken,coke,gelato,avocado,risotto
76,prosciutto,peppers,sarsaparilla,crackers,chicken,apples,coke
77,tuna,prosciutto,olives,ham,turkey,peppers,crackers
78,olives,sarsaparilla,coke,turkey,gelato,crackers,prosciutto
79,risotto,tuna,avocado,hummus,peroni,ham,apples
80,prosciutto,peppers,sarsaparilla,crackers,chicken,steak,turkey
81,avocado,crackers,hummus,peroni,ham,soda,steak
82,avocado,crackers,hummus,peroni,ham,prosciutto,risotto
83,prosciutto,peppers,sarsaparilla,crackers,chicken,tuna,apples
84,tuna,prosciutto,apples,olives,steak,coke,ham
85,avocado,crackers,hummus,peroni,ham,tuna,soda
86,tuna,prosciutto,apples,olives,steak,risotto,turkey
87,tuna,prosciutto,olives,ham,turkey,chicken,coke
88,tuna,prosciutto,apples,olives,steak,coke,hummus
89,tuna,prosciutto,olives,ham,turkey,apples,gelato
90,avocado,crackers,hummus,peroni,ham,steak,olives
91,risotto,soda,tuna,crackers,peroni,peppers,prosciutto
92,risotto,tuna,avocado,hummus,peroni,moscato,prosciutto
93,risotto,soda,tuna,crackers,peroni,gelato,chicken
94,soda,olives,sarsaparilla,crackers,peroni,apples,prosciutto
95,prosciutto,peppers,sarsaparilla,crackers,chicken,apples,coke
96,tuna,prosciutto,olives,ham,turkey,gelato,hummus
97,pretzels,peroni,chicken,coke,gelato,prosciutto,prosciutto
98,olives,sarsaparilla,coke,turkey,gelato,peroni,soda
99,soda,olives,sarsaparilla,crackers,peroni,steak,pretzels
100,tuna,prosciutto,apples,olives,steak,peppers,risotto
